"Project Name","Status","Year Started","Year Completed","Platform","Grants and Awards","Press","Partners / Clients","Brief Project Overview","Video","Image Carousel","Longer description of our involvement and/or our process (1-3 paragraphs)","Papers published (Title, Publication, Year, Link)","Software, hardware, middleware, etc","Credits / Collaborators","Additional Contributors","Links","Category 1","Category 2","Total Fee","Category/Tags (OLD)","x","x","x","x","","","","","",""
"Jettison / On Board XR","Completed","2020","2021","Mozilla Hubs","Nominee, Producers Guild of America Innovation Award","","Brendan Bradley","In July 2020, a group of theater and XR creators joined forces to experiment with live theater in open source, browser-based VR (on Mozilla Hubs). Two months later they presented the one act play, Jettison, for live virtual audiences at The Here Festival.","","https://drive.google.com/drive/folders/1O9EJsSLivhRThcbggqxayQtMB1T5K8vq?usp=drive_link","For Jettison and its revival in the first On Board XR Festival, our producing team handled general management tasks for the production as well as heading up design, house management and stage management, in both systems and operation.  ","Coulombe, A., Gochfeld, D., Bradley, B., Laibson, K., Long, R., Miletitch, R.  ""Virtual Reality Live theatre on No Budget: A Model for Independent Theatrical Productions using Open-Source Social VR""  SIGGRAPH '21: ACM SIGGRAPH 2021 Educators Forum Aug 2021 Article No.: 2
https://doi.org/10.1145/3450549.3464413","Mozilla Hubs, OBS, OBS Ninja","By Brendan A. Bradley Directed by David Gochfeld Produced by Alex Coulombe, Kevin Laibson, David Gochfeld, Brendan A. Bradley Virtual Space Integration by Roman Miletitch Featuring: Brendan A. Bradley Nick Carrillo Nican Robinson Digital Puppetry by Ashley Clements Performed in Mozilla Hubs at The Brendan A. Bradley Future Stages Theater","","https://www.brendanabradley.com/futurestages/2020/11/30/live-theater-in-virtual-reality https://www.broadwayworld.com/off-off-broadway/article/JETTISON-a-New-Play-Produced-Rehearsed-and-Performed-in-Virtual-Reality-Closes-Out-Here-Online-Oasis-Weekend-20201001","Performance Research (Non-billable)","Entertainment","","Performance","","","","","","","","","",""
"A Christmas Carol VR","Completed","2021","","Unreal Engine","","","Originally produced in collaboration with Actors Theatre of Louisville","A Christmas Carol VR is a live, real-time immersive adaptation of Dickens' classic, blending immersive theater with cutting-edge technology. Live actors with facial and motion capture perform on the streets of a virtual Victorian London.","https://youtu.be/kLMbr8OJGe4","https://drive.google.com/drive/folders/15WRhLmP872PGPjQI8mtQWDvl140nQ4L7?usp=drive_link","Initially, we partnered with Actors Theater of Louisville for their annual in-person production of A Christmas Carol in 2021. Their new artistic director, Robert Barry Fleming, had seen our presentation of That Kind of Guy at the TCG Conference earlier in the year, and wanted to engage us to help create and integrate digital characters and environments in to their live show. In years since, ATL gave us their blessing to remount it annually however we'd like, and it has become a yearly R&D tradition for us. Each year we set out to try out new production systems, from distribution and ticket management to motion capture solutions and actor/audience interaction methods.","","","Ari Tarr as Dickens, Scrooge, Others Debbie Deer as the Ghosts Based on the novella ""A Christmas Carol"" by Charles Dickens Adapted and Directed for VR by: David Gochfeld Based on the adaptation by: Robert Barry Fleming Stage Manager: Stef Buckner Associate Stage Manager: Josi Morgan Lead Developer: Yu-Jun Yeh Developer Team: Yu-Jun Yeh Dante Cameron Josi Morgan Marshall Nowak Alex Coulombe XR Performance Consultant: Ari Tarr QA: Michael Burgess Environmental Design: Delta Ark Dante Cameron Josi Morgan Sarah Reed Sound Design: Josi Morgan Software Engineer: Eytan Manor Producers: Alex Coulombe Kevin Laibson __ Livestream Cinematographer: Jackie Roman Camera Operator and Streamer: Carlos Austin Camera Operator: John Harvey __ Special thanks to Alex from outofthebox-plugins.com for UE Plugin upgrade assistance FGI X Miami 2023 premiere with support from Z by HP Meta Quest Pros and Puget Workstation support from Impossible Ventures __ Additional Credits First produced in 2021 in association with Actors Theatre of Louisville Written and Directed by: Robert Barry Fleming XR Producer: Zachary Meicher-Buzzi Digital Performance Specialist: Rob Lester Technical Artists: Alden Pedula Adam Vosburgh Motion Capture Artists: Kavin Moore and Brittany “BeeBee” Patillo Scenic Design: Katelin Ashcraft Costume Designer: Anna Jenny Sound Design: Paul Doyle","","","Performance Research (Non-billable)","Entertainment","","Performance","","","","","","","","","",""
"The Orchard","Completed","2022","2022","Baryshnikov Arts Center Off Broadway / Virtual Platform TK","","Playbill.com, Boston Globe, Marina Abramovic's Cultural Highlights for The Globe UK","Arlekin Players & zero-G Virtual Theater Lab / Groundswell Theatre, Inc.","Agile Lens created and implemented the virtual side of this groundbreaking hybrid performance starring Mikhael Baryshnikov and Jessica Hecht in an adaptation of Anton Chekhov's The Cherry Orchard","https://youtu.be/vAE3DQ4rnHw","https://drive.google.com/drive/folders/1NgSkATlohCyvZ5b45HsIqZF-_cTBtlLF?usp=drive_link","","","","Produced by: Arlekin Players Theatre & Zero-Gravity (zero-G) Virtual Theater Lab, Groundswell Theatricals Inc., Cherry Orchard Festival
Cast: Jessica Hecht, Mikhail Baryshnikov, Juliet Brett, Darya Denisova, Seth Gore, Elise Kibler, Nael Nacer, Jeff Hayenga, Gene Ravvin","","https://www.theorchardoffbroadway.com/","Production/Performance Consultation (Billable)","Entertainment","","Performance","","","","","","","","","",""
"Song of the Ambassadors","Completed","2022","2022","Alice Tully Hall @ Lincoln Center","","The New York Times - Music, Science and Healing Intersect in an A.I. Opera
BOMB Magazine - Making the Invisible Visible: K Allado-McDowell, Derrick Skye, and Refik Anadol in Conversation
The Wie Suite - Lincoln Center's Chief Artistic Officer, Shanta Thake, Is Sharing Her Brain (Waves) With the World","","Agile Lens provided previz for this experimental piece at Alice Tully Hall featured lighting design by Refik Anadol, now doing the Las Vegas Sphere.","https://youtu.be/gY5GA_L9NXM","https://drive.google.com/drive/folders/10KELt584LwdpJz1yvn8aGxbH6m3yhoBd?usp=drive_link","","","Unreal Engine","Composed by Derrick Skye
Libretto by K Allado-McDowell (with GPT-3)
Stage Direction by Mary Birnbaum
Projections by Refik Anadol
Set Designs by Marcos Lutyens
Costume Designs by Oana Botez
Sound Design by Ian Smith
Neuroscience Research and Studies by Ying Wu and Alexander K. Khalil (UCSD)
Conceived by K Allado-McDowell
Produced by KAM Studio in collaboration with Ben Newman and Lincoln Center","","https://www.songoftheambassadors.com/","Production/Performance Consultation (Billable)","Entertainment","","Performance. Pre-viz","","","","","","","","","",""
"Waldorf Astoria Miami","Completed","2022","2022","","","","","","","https://drive.google.com/drive/folders/18J7IT_9nfCpvq9G_Uv4zs_LuBDP-vrqt?usp=drive_link","","","","","","","Immersive Marketing/Retail","","","Immersive Marketing","","","","","","","","","",""
"Four Seasons Lake Austin","Completed","2023","","","","https://www.papercitymag.com/real-estate/four-seasons-private-residences-lake-austin-creates-2-million-holodeck-real-estate-amenities/#465572","","This 5,300 square foot space allows guests to virtually experience what $300 million worth of amenities and shared facilities will feel like at Four Seasons Private Residences. Guests can walk freely and wirelessly around an 82 x 65-foot space and feel like they are walking around a finished residence, the lake clubhouse, indoor sports club, private restaurant, and theater. The experience ends with guests walking into a virtual 96-seat theater and then sitting in four real theater seats.","","https://drive.google.com/drive/folders/1IIojZy7fuWkRKXhcnaw9nd_tYYW81B13?usp=drive_link","Agile Lens worked in the development and production phases of this project; we optimized the levels that Pureblink built from DBox's renders, and assembled the software experience to navigate between those levels. We also led the setup and implementation of the holodeck itself, working with the client to develop the entire guest experience from entering the holodeck through the virtual tour. We staffed and managed the first 6 months of operation and managed the operations handoff to a local team. ","","Unreal Engine, Optitrack system, Motive, Antilatency","","","https://youtu.be/6la2yieiCG0?si=fU2Z1CZMOKTgX-g4","Real Estate","","","Real Estate","","","","","","","","","",""
"Dell Cybersecurity VR Challenge","Completed","2023","2023","Dell Technologies World in Las Vegas","","","Fair Worlds, Dell","We were excited for Fair Worlds to bring us on to this project for Dell Technologies, which through a central narrative of a cybersecurity booth that's been hacked, walked users through the central tenets of Dell's Cybersecurity offerings.","https://vimeo.com/874205089","https://drive.google.com/drive/folders/13_LMtJU6ZCYVxRO40Aot9bJpR8arVaku?usp=drive_link","For this project, we helped with the motion capture and metahuman pipelines, including directing the actors in mocap sessions and getting the mocap software integrated to their Unreal project.","","move.ai, Unreal Engine","","","https://www.fairworlds.com/blog/dell-cybersecurity-vr-challenge","Immersive Marketing/Retail","","","Immersive Marketing","","","","","","","","","",""
"Vodafone","Completed","2023","2023","","","","","Agile Lens developed an immersive VR car showroom experience with an AI car salesman powered by inworld.ai and vehicle customization, showcasing Vodafone's DAB platform for London Tech Week. ","","https://drive.google.com/drive/folders/1pu6zNl01lSQk6bP1mMT6nZ9i50Zkbzzr?usp=drive_link","","","","","","https://www.businesswire.com/news/home/20230719281018/en/Infinite-Reality-and-Vodafone-Digital-Asset-Broker-Join-Forces-to-Create-Extraordinary-Metaverse-Showroom-at-London-Tech-Week
https://www.theinfinitereality.com/news/infinite-reality-and-vodafone-showcase-ai-onboard-a-revolutionary-automotive-onboarding-service-at-mobile-world-congress-part-of-ongoing-strategic-partnership
https://www.youtube.com/watch?v=ZuqmYgvZV2g","Immersive Marketing/Retail","","","Immersive Marketing","","","","","","","","","",""
"La Pasión XR","Completed","2024","","","","","Gateway Chamber Orchestra","“La Pasión XR"" takes guests on an ephemeral, audio-reactive journey through the Gateway Chamber Orchestra’s performance of Osvaldo Golijov's La Pasion según San Marcos. Guests begin downstage in a point cloud scan of the concert hall. There is a soft hum from instruments and music stands dissolving in and out of existence, and guests are presented with a menu for selecting an experience mode, viewing controls and credits. They can freely navigate the theater in their VR headset using teleportation, smooth locomotion and snap rotation. Experience options include a volumetric highlight sequence of the concert and two full featured movements to explore, each with bonus 360 video content and more.","https://youtu.be/iqZQZzXkTRQ?si=m4Kazvj5isXsnsHg","https://drive.google.com/drive/folders/1n5BsaaTbCsXEz2IPwpgplywzbFntQTyN?usp=drive_link","","","","https://docs.google.com/document/d/1ArXL2V1sFqGfab-Lfm8YE_GhqnwXYgE9pSNs6zN1nZY/edit?usp=sharing","","","Entertainment","Production/Performance Consultation (Billable)","","Performance","","","","","","","","","",""
"Blueprint Immersive","In-Progress","2024","","","","","FDA","","","","","","","","","","Architecture","","","Tools. Pre-viz","","","","","","","","","",""
"Body of Mine","Completed","2024","2024","Meta Quest Store","","","KOST","Body of Mine is an award-winning, full-body VR experience that invites you to inhabit the body of another gender and discover stories from transgender individuals. Combining body, face, and eye tracking with personal interviews of transgender individuals, the experimental storytelling experience allows you to hear, discover, and experience stories of gender dysphoria and euphoria. Winner of the Producers Guild Innovation Award, and with accolades from BAFTA, SXSW, and Games for Change, Body of Mine “breaks through a psychological barrier that few pieces of media ever have” (WIRED), taking you on a profound journey of what it means to be a human being.","","https://drive.google.com/drive/folders/1vfnUCLxZnPH5xXOK1OUrfdwAt2jhB01q?usp=drive_link","We were excited to join up with KOST to help them with not just a port of Body of Mine for the Meta Quest, but an optimization overhaul and adding new, community-focused features including an improved navigation system and the ability for users to upload their own stories.","","","","","https://www.bodyofminevr.com/
https://www.meta.com/experiences/body-of-mine/7712124182163903/","Social Impact","Entertainment","","","","","","","","","","","",""
"BuildFinal_FINAL @ WLab","Completed","2024","2024","","","","","","","","","","","","","","Performance Research (Non-billable)","Entertainment","","","","","","","","","","","",""
"I, Your Glass","Completed","2024","2024","","","","","","","","","","","","","","Production/Performance Consultation (Billable)","Entertainment","","","","","","","","","","","",""
"PerforMR","In-Progress","2024","","","","","","","","","","","","","","","Performance Research (Non-billable)","Entertainment","","","","","","","","","","","",""
"RSC XR Network+ Grant (virtual rehearsal room)","In-Progress","2024","","","","","","","","","","","","","","","Production/Performance Consultation (Billable)","","","","","","","","","","","","",""
"Line!","In-Progress","2023","","","","","","","","","","","","","","","Entertainment","Performance Research (Non-billable)","","","","","","","","","","","",""
"Ink & Paint","In-Progress","2023","","","","","","","","","","","","","","","Production/Performance Consultation (Billable)","Production/Performance Consultation (Billable)","","","","","","","","","","","",""
"Weapons Free","In-Progress","2024","","","","","","","","","","","","","","","Training / Education","","","","","","","","","","","","",""
"Iris XR","Prospect","","","","","","","","","","","","","","","","Training / Education","","","","","","","","","","","","",""
"Time Machine","Dead","","","","","","","","","","","","","","","","Entertainment","","","","","","","","","","","","",""
"Untitled KOST Project","Prospect","","","","","","","","","","","","","","","","Entertainment","","","","","","","","","","","","",""
"Star Wars - Halcyon VR","In-Progress","2024","","","","","","","","","","","","","","","Entertainment","","","","","","","","","","","","",""
"Kiehl's ","Completed","","","","","","","","","","","","","","","","Immersive Marketing/Retail","","","","","","","","","","","","",""
"Dematerial partnership","Prospect","","","","","","","","","","","","","","","","Architecture","","","","","","","","","","","","",""
"Meta Mercator (Flemish Tourism)","Prospect","","","","","","","","","","","","","","","","Immersive Marketing/Retail","","","","","","","","","","","","",""
"Virtually Tonight","In-Progress","2024","","","","","","","","","","","","","","","Entertainment","","","","","","","","","","","","",""
"Your Mind, Girls...","In-Progress","2024","","","","","","","","","","","","","","","Performance Research (Non-billable)","","","","","","","","","","","","",""
"Weapons Free Radar Project","Prospect","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sony XR pitches","Prospect","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Apple XR pitches","Prospect","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Epic Games Apple Vision Pro Demo","Prospect","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Four Seasons Holodeck 2.0 - Austin","Prospect","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOM - UT Austin / Dell Holodeck - Austin","Prospect","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DBOX - Office Holodeck - NYC","Prospect","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Addt'l Holodecks - LA, SF, et al","Prospect","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Meta / Oculus Start","Prospect","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Funbox Animation Studio Partnership","Prospect","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FDA - Wichita","Prospect","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Misc. Virtual Production Opportunities","Prospect","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
